Name,page,Category,Paper 1,paper_1_link,Paper 2,paper_2_link
"Dillon, Lisa",https://demo.umontreal.ca/repertoire-departement/professeurs/professeur/in/in15251/sg/Lisa%20Y.%20Dillon/,"Family, social demography","International partners, local volunteers and lots of data: The 1881 Canadian census project",https://www.euppublishing.com/doi/abs/10.3366/hac.2000.12.2.163,Integrating Canadian and U.S. Historical Census Microdata: Canada (1871 and 1901) and the United States (1870 and 1900),https://www.tandfonline.com/doi/abs/10.1080/01615440009598959?journalCode=vhim20
"Dodd, Erengul",http://www.cpc.ac.uk/about_us/the_team/11/Erengul_Dodd#staff,"Mathematical, statistical, digital demography, population projection",Forecasting of cohort fertility under a hierarchical Bayesian approach,https://rss.onlinelibrary.wiley.com/doi/10.1111/rssa.12566,Projecting UK Mortality using Bayesian Generalised Additive Models,https://rss.onlinelibrary.wiley.com/doi/full/10.1111/rssc.12299
"Dondero, Molly",https://www.american.edu/cas/faculty/dondero.cfm,"Migration, environment, economic demography",School stratification in new and established Latino destinations,https://academic.oup.com/sf/article-abstract/91/2/477/2235792,"Generational status, neighborhood context, and mother-child resemblance in dietary quality in Mexican-origin families",https://www.sciencedirect.com/science/article/abs/pii/S0277953615302835
"Donehower, Gretchen",https://u.demog.berkeley.edu/~gretchen/,"Migration, environment, economic demography",Methodology of the National Time Transfer Accounts,"https://link.springer.com/chapter/10.1007/978-3-030-11806-8_2#:~:text=NTA%20is%20a%20framework%20for,ages%20when%20we%20are%20not.",Gender and Work in the United States and Patterns by Hispanic Ethnicity,https://link.springer.com/chapter/10.1007/978-3-030-11806-8_7
"Dorélien, Audrey",https://www.hhh.umn.edu/directory/audrey-dor%C3%A9lien,"Migration, environment, economic demography",Birth Seasonality in Sub-Saharan Africa,https://www.jstor.org/stable/26332053#metadata_info_tab_contents,What is Urban? Comparing a Satellite View with the Demographic and Health Surveys,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2013.00610.x
"Dowd, Jennifer",https://www.jenndowd.com/,"Mortality, health, aging, biodemography",Demographic science aids in understanding the spread and fatality rates of COVID-19,https://www.pnas.org/content/117/18/9696.short,Does the predictive power of self-rated health for subsequent mortality risk vary by socioeconomic status in the US?,https://academic.oup.com/ije/article/36/6/1214/822656
"Drew, Julia",https://pop.umn.edu/people/julia-rivera-drew,"Mortality, health, aging, biodemography","Trends in Fatal and Nonfatal Injuries among Older Americans, 2004-2017",https://www.ajpmonline.org/article/S0749-37972030057-X/fulltext,Disability and the Self-Reliant Family: Revisiting the Literature on Parents with Disabilities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5605814/
"Duthé, Géraldine",https://www.ined.fr/en/research/researchers/Duth%C3%A9+G%C3%A9raldine,"Mortality, health, aging, biodemography",Suicide among male prisoners in France: a prospective population-based study,https://www.sciencedirect.com/science/article/pii/S0379073813004313,Mortality in the Caucasus: An attempt to re-estimate recent mortality trends in Armenia and Georgia,https://www.jstor.org/stable/26349571?seq=1#metadata_info_tab_contents
"Duvander, Ann-Zofie",https://www.su.se/english/profiles/aduva-1.184641,"Family, social demography",Gender equality and fertility in Sweden: A study on the impact of the father's uptake of parental leave on continued childbearing,https://doi.org/10.1300/J002v39n01_07,Family policy and fertility: Fathers' and mothers' use of parental leave and continued childbearing in Norway and Sweden,https://doi.org/10.1177/0958928709352541
"Dwyer-Lindgren, Laura",http://www.healthdata.org/about/laura-dwyer-lindgren,"Mortality, health, aging, biodemography","US County-Level Trends in Mortality Rates for Major Causes of Death, 1980-2014",https://pubmed.ncbi.nlm.nih.gov/27959996/,"Inequalities in Life Expectancy Among US Counties, 1980 to 2014: Temporal Trends and Key Drivers",https://pubmed.ncbi.nlm.nih.gov/28492829/
"Eismann, Maria",https://scholar.google.com/citations?user=Eb1nmzkAAAAJ&hl=en,"Mortality, health, aging, biodemography",Origins and mechanisms of social influences in couples: The case of retirement decisions,10.1093/esr/jcz037,"Older workers' plans for activities in retirement: The role of opportunities, spousal support, and time perception",10.1037/pag0000377
"Elo, Irma",https://sociology.sas.upenn.edu/people/irma-elo,"Mortality, health, aging, biodemography",Social class differentials in health and mortality: Patterns and explanations in comparative perspective,https://www.annualreviews.org/doi/abs/10.1146/annurev-soc-070308-115929,Mortality among elderly Hispanics in the United States: Past evidence and new results,https://link.springer.com/article/10.1353/dem.2004.0001
"England, Paula",https://as.nyu.edu/content/nyu-as/as/faculty/paula-england.html,"Migration, environment, economic demography",Gender inequality in labor markets: The role of motherhood and segregation,https://academic.oup.com/sp/article-abstract/12/2/264/1685513,"Households, employment, and gender: A social, economic, and demographic view",https://books.google.ca/books?hl=en&lr=&id=KmZQDwAAQBAJ&oi=fnd&pg=PP1&dq=info:94IYgM3TQQ8J:scholar.google.com&ots=j3j1WlRtkz&sig=rM321rrLCZOd99RaevAagNBJLXc&redir_esc=y#v=onepage&q&f=false
"Engleman, Michal",https://cde.wisc.edu/staff/engelman-michal/,"Mortality, health, aging, biodemography",A Quiescent Phase in Human Mortality? Exploring the Ages of Least Vulnerability.,https://doi.org/10.1007/s13524-017-0569-z,"Work Disability Among Native-born and Foreign-born Americans: On Origins, Health, and Social Safety Nets",https://doi.org/10.1007/s13524-017-0617-8
"Entwisle, Barbara",https://www.cpc.unc.edu/people/fellows/barbara-entwisle/,"Migration, environment, economic demography",Putting people into place,https://link.springer.com/article/10.1353/dem.2007.0045,Multilevel effects of socioeconomic development and family planning programs on children ever born,https://www.journals.uchicago.edu/doi/abs/10.1086/228316
"Evandrou, Maria",https://www.southampton.ac.uk/ageing/about/staff/evandrou.page,"Mortality, health, aging, biodemography",Attitudes and preferences towards future old-age support amongst tomorrow's elders in China,https://www.demographic-research.org/volumes/vol43/11/default.htm,Handbook on Demographic Change and the Lifecourse,https://www.e-elgar.com/shop/gbp/catalogsearch/result/?q=Handbook+on+Demographic+Change+and+the+Lifecourse+
"Evans, Ann",https://researchers.anu.edu.au/researchers/evans-aa,"Family, social demography",Negotiating the Life Course: Stability and Change in Life Pathways,https://books.google.ca/books?hl=en&lr=&id=Tnq9aOqsJ6EC&oi=fnd&pg=PR5&dq=info:5eeNfNsOTjEJ:scholar.google.com&ots=XPUErOyzV-&sig=360RlSD9LFOnqOq_et_FM6QVpuM&redir_esc=y#v=onepage&q&f=false,The influence of significant others on Australian teenagers' decisions about pregnancy resolution,https://www.jstor.org/stable/2673786?seq=1#metadata_info_tab_contents
"Fürnkranz-Prskawetz, Alexia",https://www.oeaw.ac.at/vid/people/staff/alexia-fuernkranz-prskawetz/,"Migration, environment, economic demography",A brain gain with a brain drain,https://www.sciencedirect.com/science/article/abs/pii/S0165176597000852,"Human capital depletion, human capital formation, and migration: a blessing or a “curse”?",https://www.sciencedirect.com/science/article/abs/pii/S0165176598001256
"Falkingham, Jane",https://www.southampton.ac.uk/demography/about/staff/jcf1.page,"Migration, environment, economic demography",Measuring health and poverty: a review of approaches to identifying the poor,https://www.researchgate.net/profile/Jane_Falkingham/publication/246794081_Measuring_Health_and_Poverty_A_Review_of_Approaches_to_Identifying_the_Poor/links/54186e160cf2218008bf3cc4/Measuring-Health-and-Poverty-A-Review-of-Approaches-to-Identifying-the-Poor.pdf,"Poverty, out-of-pocket payments and access to health care: evidence from Tajikistan",https://www.sciencedirect.com/science/article/abs/pii/S027795360300008X
"Fasang, Anette Eva",https://www.wzb.eu/en/persons/anette-eva-fasang,"Family, social demography","The"" second wave"" of sequence analysis bringing the"" course"" back into the life course",https://journals.sagepub.com/doi/abs/10.1177/0049124109357532,The interplay of work and family trajectories over the life course: Germany and the United States in comparison,https://www.journals.uchicago.edu/doi/abs/10.1086/691128
"Feliciano, Cynthia",https://sociology.wustl.edu/people/cynthia-feliciano,"Migration, environment, economic demography",Educational selectivity in US immigration: How do immigrants compare to those left behind?,https://link.springer.com/article/10.1353/dem.2005.0001,Does Selective Migration Matter? Explaining Ethnic Disparities in Educational Attainment among Immigrants' Children,https://journals.sagepub.com/doi/abs/10.1111/j.1747-7379.2005.tb00291.x
"Finney, Nissa",http://www.cpc.ac.uk/about_us/the_team/18/Nissa_Finney#staff,"Migration, environment, economic demography",House prices push old and young into separate neighbourhoods,https://esrc.ukri.org/files/news-events-and-publications/evidence-briefings/house-prices-push-old-and-young-into-separate-neighbourhoods/,Is migration in later life good for wellbeing? A longitudinal study of ageing and selectivity of internal migration,https://risweb.st-andrews.ac.uk/portal/en/researchoutput/is-migration-in-later-life-good-for-wellbeing-a-longitudinal-study-of-ageing-and-selectivity-of-internal-migration(fa4abd7e-2a4e-4d40-a962-3fca51a4002a).html
"Fiori, Francesca",https://www.ed.ac.uk/profile/francesca-fiori,"Family, social demography",Employment insecurity and mental health during the economic recession: An analysis of the young adult labour force in Italy,https://www.sciencedirect.com/science/article/abs/pii/S027795361630065X,Geographical variations in fertility and transition to second and third birth in Britain,https://www.sciencedirect.com/science/article/pii/S1040260813000439
"Flood, Sarah",https://pop.umn.edu/people/sarah-flood,"Family, social demography",Time for each other: Work and family constraints among couples,https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12255,"Healthy Time Use in the Encore Years: Do Work, Resources, Relations, and Gender Matter?",https://journals.sagepub.com/doi/abs/10.1177/0022146514568669
"Frankenberg, Elizabeth",https://www.cpc.unc.edu/people/fellows/elizabeth-frankenberg/,"Migration, environment, economic demography",The real costs of Indonesia's economic crisis: Preliminary findings from the Indonesia Family Life Surveys,https://econpapers.repec.org/paper/fthrandlp/99-04.htm,Health consequences of forest fires in Indonesia,https://link.springer.com/article/10.1353/dem.2005.0004
"Franklin, Rachel",https://scholar.google.com/citations?user=5D_ebBIAAAAJ&hl=en,"Migration, environment, economic demography","An Examination of the Geography of Population Composition and Change in the United States, 2000-2010: Insights from Geographical Indices and a Shift-Share Analysis",10.1002/psp.1744,"Who Counts? Gender, Gatekeeping, and Quantitative Human Geography",10.1080/00330124.2020.1828944
"Frye, Maggie",https://lsa.umich.edu/soc/people/faculty/margaret-frye.html,"Family, social demography",Bright futures in Malawi’s new dawn: Educational aspirations as assertions of identity,https://www.journals.uchicago.edu/doi/abs/10.1086/664542,"The demography of words: The global decline in non-numeric fertility preferences, 1993–2011",https://www.tandfonline.com/doi/abs/10.1080/00324728.2017.1304565
"Fussell, Elizabeth",https://www.brown.edu/academics/population-studies/people/person/elizabeth-fussell,"Migration, environment, economic demography",The limits to cumulative causation: International migration from Mexican Urban Areas,https://link.springer.com/article/10.1353/dem.2004.0003,The Long-Term Recovery of New Orleans Population After Hurricane Katrina,https://journals.sagepub.com/doi/abs/10.1177/0002764215591181
"Gampe, Jutta",https://www.demogr.mpg.de/en/about_us_6113/staff_directory_1899/jutta_gampe_655,"Mathematical, statistical, digital demography, population projection",Human mortality beyond age 110,https://www.demogr.mpg.de/en/publications_databases_6118/publications_1904/book_chapters/human_mortality_beyond_age_110_3980/,Seasonal variation in death counts: P-spline smoothing in the presence of overdispersion,https://www.demogr.mpg.de/en/publications_databases_6118/publications_1904/book_chapters/seasonal_variation_in_death_counts_p_spline_smoothing_in_the_presence_of_overdispersion_1725/
"García, Jenny",https://theconversation.com/profiles/jenny-garcia-735043,"Mortality, health, aging, biodemography",Trends in infant mortality in Venezuela between 1985 and 2016: a systematic analysis of demographic data,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X1830479-0/fulltext,Urban–rural differentials in Latin American infant mortality,https://www.demographic-research.org/volumes/vol42/8/42-8.pdf
"Garip, Filiz",https://sociology.cornell.edu/filiz-garip,"Migration, environment, economic demography",Social capital and migration: How do similar resources lead to divergent outcomes?,https://link.springer.com/article/10.1353/dem.0.0016,Discovering Diverse Mechanisms of Migration: The Mexico- U.S. Stream from 1970 to 2000,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2012.00510.x
"Gauthier, Anne",https://t.co/BMHJq9QVCr?amp=1,"Family, social demography",The impact of family policies on fertility in industrialized countries: a review of the literature,https://link.springer.com/article/10.1007/s11113-007-9033-x,Generations and Gender Survey study profile. Longitudinal and Life Course Studies,https://www.llcsjournal.org/index.php/llcs/article/view/500
"Gaydosh, Lauren",https://www.vanderbilt.edu/mhs/person/lauren-gaydosh/,"Mortality, health, aging, biodemography",The Depths of Despair Among US Adults Entering Midlife,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2019.305002,Childhood Family Instability and Young Adult Health,https://journals.sagepub.com/doi/abs/10.1177/0022146518785174
"Gemmill, Alison",https://www.alisongemmill.com/,Fertility,From Some to None? Fertility Expectation Dynamics of Permanently Childless Women,https://pubmed.ncbi.nlm.nih.gov/30430426/,Reduced fecundity in HIV-positive women,https://pubmed.ncbi.nlm.nih.gov/29579247/
"Genadek, Katie R.",https://scholar.google.com/citations?user=bFhMJ0sAAAAJ&hl=en,"Family, social demography",No-fault divorce laws and the labor supply of women with and without children,http://jhr.uwpress.org/content/XLII/1/247.short,"Trends in spouses’ shared time in the United States, 1965–2012",https://link.springer.com/content/pdf/10.1007/s13524-016-0512-8.pdf
"Geronimus, Arline",https://sph.umich.edu/faculty-profiles/geronimus-arline.html,"Mortality, health, aging, biodemography","""Weathering"" and age patterns of allostatic load scores among blacks and whites in the United States",https://doi.org/10.2105/AJPH.2004.060749,Black/white differences in the relationship of maternal age to birthweight: A population-based test of the weathering hypothesis,https://doi.org/10.1016/0277-95369500159-X
"Gibby, Ashley Larsen",https://familylife.byu.edu/directory/ashley-larsen-gibby,"Family, social demography",Exploring Multiple Dimensions of Young Women's Fertility Preferences in Malawi,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6786917/,Adoption: A Strategy to Fulfill Sex Preferences of U.S. Parents,https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12541
"Gil-Clavel, Sofia",https://sofiag1l.github.io/,"Mathematical, statistical, digital demography, population projection",Demographic Differentials in Facebook Usage around the World.,https://ojs.aaai.org/index.php/ICWSM/article/view/3263,Close social networks among older adults: the online and offline perspectives,DOI:10.4054/MPIDR-WP-2020-035
"Gleeson, Shannon",https://www.ilr.cornell.edu/people/shannon-gleeson,"Migration, environment, economic demography",When Do Papers Matter? An Institutional Analysis of Undocumented Life in the United States,https://doi.org/10.1111/j.1468-2435.2011.00726.x,Labor Rights for All? The Role of Undocumented Immigrant Status for Worker Claims Making,https://doi.org/10.1111/j.1747-4469.2010.01196.x
"Glei, Dana",http://danaglei.users.sonic.net/,"Mortality, health, aging, biodemography","Participating in social activities helps preserve cognitive function: an analysis of a longitudinal, population-based study of the elderly",https://pubmed.ncbi.nlm.nih.gov/15764689/,Utilization of care during pregnancy in rural Guatemala: does obstetrical need matter?,https://pubmed.ncbi.nlm.nih.gov/14572850/
"Glick, Jennifer",https://sociology.la.psu.edu/people/jeg115,"Migration, environment, economic demography",Post-secondary school participation of immigrant and native youth: The role of familial resources and educational expectations,https://www.sciencedirect.com/science/article/abs/pii/S0049089X03000590,Academic trajectories of immigrant youths: Analysis within and across cohorts,https://link.springer.com/article/10.1353/dem.2003.0034
"Godwin, Jessica",https://csde.washington.edu/students/jessica-godwin/,"Mathematical, statistical, digital demography, population projection",Bayesian projection of life expectancy accounting for the HIV/AIDS epidemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6238958/,Estimating under-five mortality in space and time in a developing world context,https://journals.sagepub.com/doi/abs/10.1177/0962280218767988
"Goisis, Alice",https://alicegoisis.com/,"Family, social demography",Childbearing Postponement and Child Well-being: A Complex and Varied Relationship?,https://link.springer.com/content/pdf/10.1007/s13524-014-0335-4.pdf,Advanced Maternal Age and the Risk of Low Birth Weight and Preterm Delivery: a Within-Family Analysis Using Finnish Population Registers,https://academic.oup.com/aje/article/186/11/1219/3858068
"Goldberg, Rachel",https://www.faculty.uci.edu/profile.cfm?faculty_id=6511,"Family, social demography",Family Instability and Early Initiation of Sexual Activity in Western Kenya,https://link.springer.com/content/pdf/10.1007/s13524-012-0150-8.pdf,"Family Instability and Pathways to Adulthood in Cape Town, South Africa",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2013.00590.x
"Goldman, Noreen",https://www.princeton.edu/~ngoldman/,"Mortality, health, aging, biodemography",Socioeconomic differences in mortality among US adults: Insights into the Hispanic paradox,https://academic.oup.com/psychsocgerontology/article/62/3/S184/600844,Mortality differentials by marital status: an international comparison,Mortality differentials by marital status: an international comparison
"Grace, Kathryn",https://kathryn-grace.dash.umn.edu/about/,"Migration, environment, economic demography",Child malnutrition and climate in Sub-Saharan Africa: An analysis of recent trends in Kenya,https://doi-org.proxy.lib.fsu.edu/10.1016/j.apgeog.2012.06.017,Using satellite remote sensing and household survey data to assess human health and nutrition response to environmental change,https://link.springer.com/article/10.1007%252Fs11111-013-0201-0
"Graham, Elspeth",https://risweb.st-andrews.ac.uk/portal/en/persons/elspeth-graham(438f3ca4-7c43-4a13-a4e7-ed4cba112e74).html,"Migration, environment, economic demography",The spatialities of ageing: Evidencing increasing spatial polarisation between older and younger adults in England and Wales,10.4054/demres.2017.36.25,The challenge facing population geography,10.1177/030913259101500202
"Grant, Monica",https://sociology.wisc.edu/staff/grant-monica-2/,"Family, social demography",The Demographic Promise of Expanded Female Education: Trends in the timing of First Birth in Malawi,10.1111/j.1728-4457.2015.00066.x,The Impact of Family Transitions on Child Fostering in Rural Malawi,10.1007/s13524-013-0239-8
"Gray, Edith",https://researchers.anu.edu.au/researchers/gray-ee,Fertility,Childbearing desires of childless men and women: When are goals adjusted?,https://www.sciencedirect.com/science/article/abs/pii/S1040260812000548,Using a reproductive life course approach to understand contraceptive method use in Australia,https://search.proquest.com/openview/1cbbecd902d54618ddba532e7097ddbd/1?pq-origsite=gscholar&cbl=34392
"Greenhlagh, Susan",http://susan-greenhalgh.com/,"Family, social demography",Just One Child: Science and Policy in Deng’s China,https://www.ucpress.edu/book/9780520253391/just-one-child,On the Crafting of Population Thought,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1728-4457.2012.00474.x
"Grundy, Emily",https://www.iser.essex.ac.uk/people/eg17433,"Mortality, health, aging, biodemography",The socioeconomic status of older adults: How should we measure it in studies of health inequalities?,https://jech.bmj.com/content/55/12/895.short,"Health inequalities in the older population: the role of personal capital, social resources and socio-economic circumstances",https://www.sciencedirect.com/science/article/abs/pii/S027795360200093X
"Guimaraes, Raquel",https://raquel-guimaraes.com/,"Mathematical, statistical, digital demography, population projection",Uncertainty in population projections: the state of the art,https://www.scielo.br/scielo.php?pid=S0102-30982014000200003&script=sci_arttext,The Demography of Skills-Adjusted Human Capital,http://pure.iiasa.ac.at/id/eprint/16477/
"Gupta, Monica das",https://www.popcenter.umd.edu/mprc-associates/mdasgupt ,"Family, social demography","Selective Discrimination against Female Children in Rural Punjab, India",https://www.jstor.org/stable/1972121,"Death Clustering, Mothers' Education and the Determinants of Child Mortality in Rural Punjab, India",https://doi.org/10.1080/0032472031000144866
"Gutierrez, Carmen",https://publicpolicy.unc.edu/people/5178/,"Migration, environment, economic demography","The institutional determinants of health insurance: Moving away from labor market, marriage, and family attachments under the ACA",https://doi.org/10.1177/0003122418811112,Employment and Health Among Recently Incarcerated Men Before and After the Affordable Care Act (2009–2017),2009–2017]https://doi.org/10.2105/AJPH.2019.305419
"Guzzo, Karen Benjamin",https://www.bgsu.edu/arts-and-sciences/sociology/people/karen-benjamin-guzzo.html,"Family, social demography",Multipartnered fertility among American men,https://link.springer.com/article/10.1353/dem.2007.0027,Marital intentions and the stability of first cohabitations,https://journals.sagepub.com/doi/abs/10.1177/0192513x08323694
"Hale, Joanna Mhairi",https://risweb.st-andrews.ac.uk/portal/en/persons/joanna-mhairi-hale(b5e758ff-5cd5-4816-bc7f-ea301607f6dd).html,"Mortality, health, aging, biodemography",Cognitive Disparities: The Impact of the Great Depression and Cumulative Inequality on Later-Life Cognitive Function,https://link.springer.com/content/pdf/10.1007/s13524-017-0629-4.pdf,"Cognitive impairment in the U.S. lifetime risk, age at onset, and years impaired",https://linkinghub.elsevier.com/retrieve/pii/S2352827319304549
"Harknett, Kristen",https://sociology.sas.upenn.edu/people/harknett,"Family, social demography",The relationship between private safety nets and economic outcomes among single mothers,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1741-3737.2006.00250.x,Do family support environments influence fertility? Evidence from 20 European countries,https://link.springer.com/content/pdf/10.1007/s10680-013-9308-3.pdf
"Harnett, Caroline",https://sc.edu/study/colleges_schools/artsandsciences/sociology/our_people/faculty_staff_directory/hartnett_caroline.php,Fertility,Racial Disparities in Emotional Well-Being during Pregnancy,https://journals.sagepub.com/doi/abs/10.1177/0022146520920259,Births that are later-than-desired: correlates and consequences,https://link.springer.com/article/10.1007/s11113-019-09513-6
"Hayford, Sarah",https://sociology.osu.edu/people/hayford.10,Fertility,The evolution of fertility expectations over the life course,https://link.springer.com/article/10.1353/dem.0.0073,"Spacing, stopping, or postponing? Fertility desires in a sub-Saharan setting",https://link.springer.com/article/10.1007/s13524-018-0754-8
"Herd, Pamela",https://gufaculty360.georgetown.edu/s/contact/0033600001i3sNCAAY/pamela-herd,"Mortality, health, aging, biodemography",Socioeconomic position and health: the differential effects of education versus income on the onset versus progression of health problems,https://journals.sagepub.com/doi/abs/10.1177/002214650704800302,Do functional health inequalities decrease in old age? Educational status and functional decline among the 1931-1941 birth cohort,https://journals.sagepub.com/doi/abs/10.1177/0164027505285845
"Hernandez, Elaine",https://sociology.indiana.edu/about/faculty/hernandez-elaine.html,"Mortality, health, aging, biodemography",Moving Upstream: The Role of Tobacco Clean Air Restrictions on Educational Inequalities in Smoking among Young Adults.,https://doi.org/10.1007/s13524-019-00805-2,Educational and Gender Differences in Health Behavior Changes After a Hypertension Diagnosis,https://doi.org/10.1177/0898264316678756
"Hiekel, Nicole",https://www.nicole-hiekel.com/,"Family, social demography",Understanding Diversity in the Meaning of Cohabitation Across Europe,https://link.springer.com/content/pdf/10.1007/s10680-014-9321-1.pdf,Grasping the Diversity of Cohabitation: Fertility Intentions Among Cohabiters Across Europe,https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12112
"Hionidou, Violetta",https://www.ncl.ac.uk/hca/staff/profile/violettahionidou.html,"Migration, environment, economic demography","Abortion and Contraception in Modern Greece, 1830-1967. Medicine, Sexuality and Popular Culture",https://doi.org/10.1007/978-3-030-41490-0,"‘If we hadn’t left … we would have all died’: Escaping Famine on the Greek Island of Chios, 1941–44",https://doi.org/10.1093/jrs/fez041
"Ho, Jessica",https://gero.usc.edu/faculty/jessica-ho-phd/,"Mortality, health, aging, biodemography",Recent trends in life expectancy across high income countries: retrospective observational study,https://www.bmj.com/content/362/bmj.k2562.full,The contribution of smoking to black-white differences in US mortality,https://link.springer.com/content/pdf/10.1007/s13524-012-0159-z.pdf
"Hook, Jennifer",https://dornsife.usc.edu/cf/soci/soci_faculty_display.cfm?Person_ID=1042774,"Family, social demography","Care in context: Men's unpaid work in 20 countries, 1965–2003",https://journals.sagepub.com/doi/abs/10.1177/000312240607100406,"Gender inequality in the welfare state: Sex segregation in housework, 1965–2003",https://www.journals.uchicago.edu/doi/abs/10.1086/651384
"Hosegood, Vicky",http://www.cpc.ac.uk/about_us/the_team/29/Vicky_Hosegood#staff,"Mortality, health, aging, biodemography",Measuring the Impact of Antiretroviral Therapy Roll-Out on Population Level Fertility in Three African Countries,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151877,"Migration, sexual behaviour, and HIV risk: a general population cohort in rural South Africa",http://www.sciencedirect.com/science/article/pii/S2352301815000454
"Hunter, Lori",https://www.colorado.edu/sociology/lori-hunter,"Migration, environment, economic demography",Migration and Environmental Hazards,https://link.springer.com/content/pdf/10.1007/s11111-005-3343-x.pdf,Environmental Dimensions of Migration,https://www.annualreviews.org/doi/abs/10.1146/annurev-soc-073014-112223
"Jaadla, Hannaliis",https://www.geog.cam.ac.uk/people/jaadla/,"Mortality, health, aging, biodemography","Socioeconomic and cultural differentials in mortality in a late 19thcentury urban setting: A linked records study from Tartu, Estonia, 1897-1900",https://www.jstor.org/stable/26332124?seq=1#metadata_info_tab_contents,"The impact of water supply and sanitation on infant mortality: Individual-level evidence from Tartu, Estonia, 1897-1900",https://www.tandfonline.com/doi/abs/10.1080/00324728.2016.1176237
"Jadhav, Apoorva",https://www.linkedin.com/in/apoorva-jadhav-99719777,Fertility,Dynamic stagnation: reasons for contraceptive non-use in context of fertility stall,https://gatesopenresearch.org/articles/3-1458/v1,"Risky Behaviors among HIV-Positive Female Sex Workers in Northern Karnataka, India",https://www.hindawi.com/journals/art/2013/878151/
"Jalovaara, Marika",https://users.utu.fi/paijalz/,"Family, social demography",The joint effects of marriage partners' socioeconomic positions on the risk of divorce,https://link.springer.com/article/10.1353/dem.2003.0004,Socio-economic status and divorce in first marriages in Finland 1991-93,https://www.tandfonline.com/doi/abs/10.1080/00324720127685
"Janssen, Fanny",https://nidi.nl/en/employees/fanny-janssen/,"Mortality, health, aging, biodemography","ICD coding changes and discontinuities in trends in cause-specific mortality in six European countries, 1950-99",https://www.scielosp.org/article/bwho/2004.v82n12/904-913/en/,"Trends in old-age mortality in seven European countries, 1950–1999",https://www.sciencedirect.com/science/article/abs/pii/S0895435603002907
"Janssens, Angelique",https://www.ru.nl/historicaldemography/staff/researchers/angelique-janssens/,"Family, social demography",Family and social change. The household as a process in an industrializing community,https://www.amazon.ca/Family-Social-Change-Household-Industrializing/dp/0521892155,"Labouring Lives. Women, work and the demographic transition in the Netherlands, 1880- 1960",https://www.researchgate.net/publication/268439103_Labouring_Lives_Women_work_and_the_demographic_transition_in_the_Netherlands_1880-1960
"jarosz, Beth",https://www.prb.org/people/beth-jarosz/,"Mathematical, statistical, digital demography, population projection",Using Assessor Parcel Data to Maintain Housing Unit Counts for Small Area Population Estimates,https://doi.org/10.1007/978-1-4020-8329-7_5,Poisson Distribution: A Model for Estimating Households by Household Size,https://doi.org/10.1007/s11113-020-09575-x
"Johnson-Hanks, Jennifer",https://sociology.berkeley.edu/faculty/jennifer-johnson-hanks,Fertility,Understanding Family Change and Variation,https://link.springer.com/chapter/10.1007%2F978-94-007-1945-3_1,Natural Intentions: Fertility Decline in the African Demographic and Health Surveys,https://www.journals.uchicago.edu/doi/10.1086/508791
"Johnson, Janna",https://sites.google.com/umn.edu/jannaj,"Migration, environment, economic demography",Is Occupational Licensing a Barrier to Interstate Migration?,https://www.nber.org/papers/w24107,The long run health consequences of rural‐urban migration,https://onlinelibrary.wiley.com/doi/full/10.3982/QE962
"Kühn, Mine",https://www.demogr.mpg.de/en/about_us_6113/staff_directory_1899/mine_kuehn_3302/,"Mortality, health, aging, biodemography",Gender differences in health in Havana versus in Mexico City and in the US Hispanic population,https://link.springer.com/content/pdf/10.1007/s10433-020-00563-w.pdf,Trends in gender differences in health at working ages among West and East Germans,https://www.sciencedirect.com/science/article/pii/S2352827318300570
"Kalousová, Lucie",http://www.luciekalousova.com/,"Mortality, health, aging, biodemography",Increase in frailty of older workers and retirees predicted by negative psychosocial working conditions on the job,https://www.sciencedirect.com/science/article/abs/pii/S0277953614007874,Debt and Foregone Medical Care,https://journals.sagepub.com/doi/abs/10.1177/0022146513483772
"Kaneda, Toshiko",https://www.prb.org/people/toshiko-kaneda/,"Mortality, health, aging, biodemography",Gender Differences in Functional Health and Mortality Among the Chinese Elderly Testing an Exposure Versus Vulnerability Hypothesis,https://doi.org/10.1177/0164027508330725,"Education, Gender, and Functional Transitions Among Indonesian Elderly",https://doi.org/10.1007/s10823-007-9041-7
"Kantorova, Vladimira",https://www.researchgate.net/profile/Vladimira_Kantorova,"Family, social demography",Education And Entry Into Motherhood In The Czech Republic During State-Socialism And The Transition Period 1970-1997,https://doi.org/10.1007/1-4020-4716-9_10,Setting Ambitious yet Achievable Targets Using Probabilistic Projections: Meeting Demand for Family Planning,https://doi.org/10.1111/sifp.12025
